claim,evidence_file,status,guardrail
"GeoVoronoi-FV defines a prescribed-site finite-volume construction problem for obstructed porous micro-CT images.","geovoronoi_fv_cmame_draft.tex: abstract, introduction, Definition 1","supported","Keep the claim as a construction primitive: prescribed sites become conservative cells, neighbours, wall contacts, and admissible flux interfaces. Do not recast it as a pore-network method or as generic voxel coarsening."
"Reachability-exchange separation supplies graph-geodesic ownership and positive-area finite-volume exchange.","geovoronoi_fv_cmame_draft.tex: Section 2; Figure 1; Theorem 4","supported","Report ownership and exchange as separate mathematical objects. Do not imply that Euclidean nearest blocks or pure agglomeration provide the same prescribed-site object."
"Residual-checkable CUDA ROI-JFA supplies fast graph-geodesic site ownership for obstructed voxel images.","current_large_scale_roi_jfa_table_for_tex.csv; table_current_large_scale_roi_jfa_rows.tex; Figure 02; Proposition 5","supported_with_scope","Use large-scale ROI-JFA rows as construction scalability and certificate evidence only. Do not use enlarged ROI-JFA-only rows as end-to-end flow-accuracy evidence."
"The retained mechanism rows validate conservative response under controlled masks.","main_solver_table_for_table1.csv; table_final_accuracy_cost_rows.tex; Figure 11; Table final-accuracy-cost","supported","Visible mechanism-row accuracy claims use final rows only: procedural e_K=0.93--2.45% at 8.0--27.0x, maze e_K=1.89% at 7.7x, and mechanism/segmented speedups 3.8--380.5x."
"The segmented Bentheimer crop is a no-reference internally selected protocol row, not the sampled-state mainline.","bentheimer_final_no_reference_selected_row.csv; table_bentheimer_offset_ensemble.tex; SI selected-row table","supported_with_scope","Report e_K=0.62%, e_phi=19.78%, e_u=24.30%, C=32.2, mass residual 1.88e-16/V, and 365.8x under the locked wall-resolution closure. Do not present the old 0.67% or 8.50% rows as current headline evidence."
"The two real-mask sampled-state rows instantiate the complete S_m+S_a mainline transfer protocol.","sampled_state_mainline_transfer_rows.csv; table_sampled_state_mainline_transfer_rows.tex; Table sampled-transfer-mainline; SI Unified mainline protocol","supported","Only Bentheimer 225^3 and public Berea 128^3 are full sampled-state mainline rows. Procedural, maze, segmented, and SI sensitivity rows are mechanism or diagnostic evidence."
"The Bentheimer 225^3 sampled-state row preserves supplied PTV/DNS state locations while adding mask-derived auxiliary geometry.","archived Bentheimer 0--99 sampled-state end-to-end summary; BENTHEIMER_STRICT_TIMING_EVIDENCE_AUDIT_20260608.md; sampled_state_mainline_transfer_rows.csv","supported_with_timing_limit","Report S_m=225423, S_a=20111, N_c=243673, C=10.26, e_K=2.30%, e_phi=19.72%, e_u=19.14%, rho_g=0, mass residual 6.59e-13/V, and t_total=3.024 s. Do not report a strict Bentheimer DNS speedup unless a same-configuration DNS wall-clock is recovered or rerun."
"The public Berea 128^3 sampled-state row provides an independent real-mask transfer and a strict same-hardware task-level speedup denominator.","protocol_refinement_berea_rerun_rows.csv; protocol_refinement_rerun_manifest.json; public_berea_128_reference_timing_900_20260608/cmame_reference_rows_all.csv; sampled_state_mainline_transfer_rows.csv; SI Public Berea audit","supported","Report S_m=22571, S_a=3451, N_c=25831, C=15.80, e_K=0.39%, e_phi=13.32%, e_u=17.24%, rho_g=0, mass residual 1.07e-13/V, t_total=2.059 s, t_ref=818.51 s, and strict state-transfer speedup=398x. Clarify that this compares construction plus state-to-flux projection with generating the same-mask voxel-reference field, not a coarse-Stokes solve."
"The protocol-refinement audit tests support-density behavior under the locked prescribed-state method.","protocol_refinement_berea_rerun_rows.csv; protocol_refinement_mechanism_rows.csv; Figure_12_protocol_refinement; SI Public Berea audit","supported_with_scope","Use the fresh Berea rerun from point-window generation through final projection. State that e_phi and e_u track support enrichment more directly than scalar K, while e_K is nonmonotone. Do not claim formal mesh convergence, monotone convergence, or O(h) rates."
"State coverage and sampled-state count are necessary but not sufficient for field accuracy.","STATE_GEOMETRY_DENSITY_DIAGNOSTIC_20260608.md; STATE_TO_FLUX_BELOW20_AUDIT_20260608.md; protocol_refinement_berea_rerun_rows.csv; Tables sampled-state-diagnostic and SI Berea ladder","supported","Use this as a diagnostic conclusion: auxiliary geometry completes quiescent/near-wall regions, and face-local state-to-face reconstruction is needed to reduce e_phi and e_u. Do not claim universal monotone convergence with site count."
"Same-mask agglomeration is a scoped positioning baseline, not a universal method benchmark.","same_mask_agglomeration_baseline.csv; SI agglomeration table; state_location_preservation_summary.csv","supported_with_scope","Use agglomeration to show the cost of moving or replacing prescribed state locations. Do not add PNM or broad agglomeration comparisons unless the manuscript is intentionally rescoped."
"The paper targets conservative reduced response and reported field-level diagnostics, not hidden pointwise voxel-scale velocity recovery.","main TeX scope statements; sampled_state_mainline_transfer_rows.csv; state-to-flux diagnostics","supported_scope","Report e_phi and e_u as field-level diagnostics and use the stated velocity-resolution boundary. Do not hide field errors, but do not promote pointwise voxel velocity as the primary promise."
"Legacy fixed-beta Bentheimer density/convergence artifacts are historical diagnostics, not current manuscript evidence.","README.md; mainline_numeric_consistency_audit_20260608.md; current_bentheimer_density_table_for_tex.csv","deprecated_for_current_claims","Do not cite Figure_10_convergence, tab:convergence, current_bentheimer_density_table_for_tex.csv, or table_current_bentheimer_density_rows.tex as current sampled-state mainline evidence."
